구분,합계_총 인구수,합계_연령구간인구수,합계_0-9세,합계_10-19세,합계_20-29세,합계_30-39세,합계_40-49세,합계_50-59세,합계_60-69세,합계_70-79세,합계_80-89세,합계_90-99세,합계_100세 이상,남_인구수,남_연령구간인구수,남_0-9세,남_10-19세,남_20-29세,남_30-39세,남_40-49세,남_50-59세,남_60-69세,남_70-79세,남_80-89세,남_90-99세,남_100세 이상,여_인구수,여_연령구간인구수,여_0-9세,여_10-19세,여_20-29세,여_30-39세,여_40-49세,여_50-59세,여_60-69세,여_70-79세,여_80-89세,여_90-99세,여_100세 이상
전국,"51,408,155","51,408,155","3,460,142","4,684,275","6,333,731","6,589,037","8,027,947","8,609,976","7,525,051","3,865,977","2,015,305","288,168","8,546","25,617,485","25,617,485","1,773,246","2,413,102","3,314,031","3,420,450","4,077,944","4,348,830","3,699,385","1,768,062","735,772","65,206","1,457","25,790,670","25,790,670","1,686,896","2,271,173","3,019,700","3,168,587","3,950,003","4,261,146","3,825,666","2,097,915","1,279,533","222,962","7,089"
서울특별시,"9,422,710","9,422,710","533,058","746,534","1,380,665","1,425,142","1,439,498","1,490,099","1,311,159","720,855","330,629","43,651","1,420","4,563,512","4,563,512","273,465","381,663","658,279","712,872","712,085","733,168","620,115","326,601","133,509","11,452",303,"4,859,198","4,859,198","259,593","364,871","722,386","712,270","727,413","756,931","691,044","394,254","197,120","32,199","1,117"
부산광역시,"3,311,402","3,311,402","202,417","265,215","389,186","394,343","491,842","540,194","560,239","312,297","138,519","16,714",436,"1,615,593","1,615,593","103,853","136,178","200,278","202,810","248,210","263,821","264,049","140,785","51,895","3,637",77,"1,695,809","1,695,809","98,564","129,037","188,908","191,533","243,632","276,373","296,190","171,512","86,624","13,077",359
대구광역시,"2,357,881","2,357,881","154,772","215,628","288,962","278,574","360,620","413,876","355,062","186,823","91,892","11,426",246,"1,159,042","1,159,042","79,266","111,523","152,714","147,926","178,020","202,269","169,356","81,957","33,360","2,622",29,"1,198,839","1,198,839","75,506","104,105","136,248","130,648","182,600","211,607","185,706","104,866","58,532","8,804",217
인천광역시,"2,976,338","2,976,338","206,458","272,529","371,263","406,924","481,351","509,573","430,502","191,090","91,931","14,228",489,"1,489,277","1,489,277","105,763","140,016","193,079","211,820","246,988","254,113","212,753","88,686","33,002","2,961",96,"1,487,061","1,487,061","100,695","132,513","178,184","195,104","234,363","255,460","217,749","102,404","58,929","11,267",393
광주광역시,"1,426,625","1,426,625","104,384","149,369","195,616","175,466","231,717","238,401","180,963","96,457","47,506","6,551",195,"704,974","704,974","53,453","77,277","102,073","90,318","115,316","118,090","86,448","42,771","17,752","1,458",18,"721,651","721,651","50,931","72,092","93,543","85,148","116,401","120,311","94,515","53,686","29,754","5,093",177
대전광역시,"1,445,214","1,445,214","100,312","139,408","202,439","187,591","224,690","239,649","200,056","96,329","47,775","6,773",192,"720,934","720,934","51,589","71,901","106,236","98,846","112,032","119,599","96,973","44,275","17,824","1,629",30,"724,280","724,280","48,723","67,507","96,203","88,745","112,658","120,050","103,083","52,054","29,951","5,144",162
울산광역시,"1,107,134","1,107,134","82,908","109,560","126,181","138,552","180,417","203,691","166,392","68,470","27,316","3,577",70,"568,824","568,824","42,629","57,361","71,556","74,663","92,522","102,725","83,954","32,923","9,816",671,4,"538,310","538,310","40,279","52,199","54,625","63,889","87,895","100,966","82,438","35,547","17,500","2,906",66
세종특별자치시,"385,825","385,825","45,440","49,607","38,107","60,678","77,194","52,539","36,633","15,938","8,201","1,445",43,"192,316","192,316","23,078","25,009","19,488","29,740","38,510","27,507","18,225","7,531","2,944",278,6,"193,509","193,509","22,362","24,598","18,619","30,938","38,684","25,032","18,408","8,407","5,257","1,167",37
경기도,"13,607,919","13,607,919","1,023,072","1,324,705","1,716,816","1,877,554","2,277,910","2,300,892","1,790,601","820,761","413,508","60,187","1,913","6,847,848","6,847,848","523,407","678,810","904,585","976,991","1,160,059","1,162,813","892,893","377,789","155,594","14,479",428,"6,760,071","6,760,071","499,665","645,895","812,231","900,563","1,117,851","1,138,079","897,708","442,972","257,914","45,708","1,485"
강원도,"1,533,356","1,533,356","94,214","130,961","167,320","159,324","213,609","260,563","272,371","139,205","83,111","12,305",373,"771,382","771,382","48,316","68,024","93,753","84,696","108,880","134,492","136,451","63,865","30,133","2,687",85,"761,974","761,974","45,898","62,937","73,567","74,628","104,729","126,071","135,920","75,340","52,978","9,618",288
충청북도,"1,594,109","1,594,109","106,931","145,301","185,968","186,620","234,423","268,275","255,628","124,825","75,237","10,608",293,"810,806","810,806","54,758","75,296","103,385","101,640","121,372","138,067","129,249","58,063","26,621","2,309",46,"783,303","783,303","52,173","70,005","82,583","84,980","113,051","130,208","126,379","66,762","48,616","8,299",247
충청남도,"2,125,333","2,125,333","149,159","202,070","229,023","251,520","326,376","342,929","319,899","175,151","110,898","17,806",502,"1,088,126","1,088,126","76,402","104,582","127,288","136,276","173,594","182,052","162,180","81,950","39,507","4,226",69,"1,037,207","1,037,207","72,757","97,488","101,735","115,244","152,782","160,877","157,719","93,201","71,391","13,580",433
전라북도,"1,764,181","1,764,181","107,464","166,158","195,143","174,490","251,194","298,216","281,587","168,807","104,452","16,177",493,"877,966","877,966","54,919","85,999","105,939","90,526","128,705","155,021","140,215","77,044","35,995","3,542",61,"886,215","886,215","52,545","80,159","89,204","83,964","122,489","143,195","141,372","91,763","68,457","12,635",432
전라남도,"1,813,439","1,813,439","112,226","160,292","182,524","171,045","245,776","310,603","299,433","187,687","124,433","18,835",585,"913,624","913,624","57,400","82,683","102,164","89,848","130,762","167,436","153,138","85,740","40,604","3,786",63,"899,815","899,815","54,826","77,609","80,360","81,197","115,014","143,167","146,295","101,947","83,829","15,049",522
경상북도,"2,592,205","2,592,205","160,547","219,610","255,736","264,967","366,170","447,264","450,782","251,671","152,430","22,447",581,"1,308,840","1,308,840","82,668","115,111","146,205","143,122","190,259","232,255","226,814","115,970","51,656","4,714",66,"1,283,365","1,283,365","77,879","104,499","109,531","121,845","175,911","215,009","223,968","135,701","100,774","17,733",515
경상남도,"3,267,369","3,267,369","223,214","316,873","332,555","357,363","514,608","575,494","522,752","262,463","140,862","20,743",442,"1,645,335","1,645,335","114,786","165,051","186,481","188,556","264,265","294,420","261,185","120,452","46,145","3,933",61,"1,622,034","1,622,034","108,428","151,822","146,074","168,807","250,343","281,074","261,567","142,011","94,717","16,810",381
제주특별자치도,"677,115","677,115","53,566","70,455","76,227","78,884","110,552","117,718","90,992","47,148","26,605","4,695",273,"339,086","339,086","27,494","36,618","40,528","39,800","56,365","60,982","45,387","21,660","9,415",822,15,"338,029","338,029","26,072","33,837","35,699","39,084","54,187","56,736","45,605","25,488","17,190","3,873",258